,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
19,KWG,2.48,46.87,1.51,3266.29,29.31,2.34,2.38,0.75,-0.07,N/A,N/A,0.0,,0.0,,0.0,,0.0,,27.63,38.21,54.49,475.39,-0.26,-0.31,0.28,0.09,5.866136927033136,1.195560879499015,27.999704462614517,10.823949677719966,N/A,N/A,14.68
20,LALIN,5.70,7.74,0.95,5272.50,10.35,5.97,5.75,0.64,0.41,0.41,0.19,0.09,,0.26,,0.1485,8.25 : 1.00,0.165,,22.89,58.53,45.00,49.67,0.53,0.43,0.61,0.74,12.977620880697119,0.7910673910170655,39.84007578290426,18.917619730363555,-18.32,40.86,36.08
21,LH,11.00,12.56,2.63,131446.84,13.08,4.19,3.94,0.97,1.03,0.86,0.73,0.25,,0.7,,0.7,,0.0,,6436.44,8956.75,2600.58,4783.01,0.80,0.69,0.73,0.88,21.573295860408063,1.1720932471439995,34.381948598589815,24.958369799266215,-5.97,8.81,21.41
22,LPN,10.00,13.89,1.19,14756.99,16.14,8.39,8.19,0.86,1.20,0.69,1.27,0.3,,0.9,,0.75,,0.35,,1047.35,758.24,591.21,356.46,1.37,1.64,1.47,0.72,8.56830601092896,0.6937629380362927,28.8925760830555,11.002636937424004,19.39,-9.83,-51.19
23,MBK,22.90,21.25,1.74,39112.28,13.27,13.14,12.34,1.02,0.80,0.65,0.60,0.3,,0.66,,0.66,,0.37,,571.92,746.93,532.72,475.95,1.19,1.36,1.54,1.38,9.106606686456145,1.1217904865726858,45.33029144993932,17.536764951048337,14.06,13.18,-10.40
24,MJD,3.32,N/A,0.75,2856.57,61.18,4.40,4.17,0.25,-0.16,N/A,N/A,0.0,,0.0,,0.0,,0.0,,757.67,286.90,750.65,716.72,0.77,0.14,0.48,-0.21,-4.74723447972339,4.187113274046362,38.33347450050349,-5.39178464524338,-81.15,231.29,N/A
25,MK,3.70,15.74,0.56,3670.44,16.64,6.61,6.46,0.26,0.47,0.94,1.02,0.0,,0.25,,0.0,,0.0,,45.81,293.24,80.34,103.57,0.52,0.71,0.35,0.24,3.549963549141693,1.1451003646296996,34.52471855115027,7.145329726716028,40.10,-44.03,-33.51
26,NCH,1.01,66.84,0.51,1257.74,27.73,2.00,1.99,0.32,0.11,N/A,N/A,0.0,,0.00556,20.00 : 1.00,0.0,,0.0,,12.02,29.70,13.24,21.95,0.10,0.10,0.02,0.02,0.759687325291089,0.914250363550178,33.43199358247351,1.2917307269931912,9.52,-83.41,-9.20
27,NNCL,1.68,14.12,1.20,3441.07,9.58,1.40,1.36,0.79,1.20,0.67,0.36,0.0,,0.0,,0.037,,0.0,,55.08,446.83,4.80,200.37,-0.29,-0.09,0.08,0.12,8.747293624263488,0.3979177486310609,42.86523897027254,29.85466042498959,N/A,N/A,52.46
28,NOBLE,10.60,2.37,0.75,4838.59,6.85,14.19,13.71,0.14,0.46,0.04,-,0.1,,0.0,,0.0,,0.0,,2574.40,1135.98,1021.73,923.07,0.36,-1.02,1.49,4.48,37.46934726987878,2.4743934602413806,41.611994895349504,21.00097520272194,N/A,N/A,199.57
29,NUSA,0.33,N/A,0.36,2521.56,-2121.28,1.00,1.02,1.10,0.57,N/A,N/A,0.0,,0.0,,0.0,,0.0,,13.86,14.81,43.91,18.47,0.04,0.01,-0.03,-0.03,-3.3993938474457273,0.8264910955145756,28.244358682067265,-15.43375601504482,-12.40,N/A,N/A
30,ORI,18.20,14.67,5.79,29651.54,17.01,3.15,1.99,2.40,1.69,0.48,0.11,0.0,,0.30777,1.50 : 1.00 10.00 : 1.00,0.09,2.50 : 1.00,0.0,,37.88,295.82,520.69,820.32,0.16,0.79,0.58,1.26,55.24556485178357,3.2235959004392383,35.39604214561574,20.23364691841582,N/A,65.03,216.97
31,PACE,0.49,33.04,2.52,5653.96,-7.27,0.60,1.57,0.40,0.62,N/A,N/A,0.0,,0.0,,0.0,,0.0,,519.03,651.10,692.45,1202.39,-0.18,-0.63,-0.67,0.05,8.694790594870621,13.423006399814858,32.65264250455605,1.8457774819893236,N/A,N/A,N/A
32,PF,0.85,25.87,0.59,7367.65,16.30,1.43,1.42,0.58,0.62,1.52,2.72,0.0,,0.0,,0.0,,0.0,,2490.53,3040.54,2448.83,3947.30,0.07,0.06,0.05,0.03,2.393909804681474,2.615497378990478,31.715639834420895,1.7020198186448752,-9.54,10.74,-28.72
33,PLAT,8.25,29.92,2.64,23100.00,21.08,3.12,3.05,0.95,0.85,0.73,0.67,0.0,,0.1575,,0.18,,0.0,,79.28,106.79,55.94,188.46,0.22,0.24,0.25,0.28,8.976098698248245,0.2011605327275725,63.10444874274662,37.495203446718186,N/A,11.85,9.63
34,POLAR,0.15,-,-,-,-,0.54,0.54,-,0.22,-,N/A,0.0,,0.0,,0.0,,0.0,,416.84,709.29,108.83,53.02,-0.02,0.00,-0.03,-0.09,-14.963632126690102,0.10151724559553363,-24.825628938380884,-259.7782674562732,N/A,N/A,N/A
35,PRECHA,1.79,N/A,1.20,601.44,-20.46,1.49,1.54,0.62,0.58,N/A,N/A,0.0,,0.0,,0.0,,0.0,,38.90,76.81,79.29,78.43,-0.04,-0.05,-0.08,-0.12,-7.859709644961908,0.17139208683333668,27.133160956690368,-64.19849718221666,N/A,N/A,N/A
36,PRIN,1.80,6.93,0.53,2196.02,11.05,3.40,3.33,0.22,0.03,0.46,0.47,0.0,,0.11,,0.12,,0.06,,392.03,477.23,434.80,468.58,0.06,0.05,0.18,0.26,7.8050870199989655,1.0330422662239165,29.717203929537156,9.851031962562224,-10.86,225.13,46.83
37,PRINC,6.00,N/A,2.36,19440.53,92.86,2.55,2.35,0.83,0.96,N/A,N/A,0.0,,0.0,,0.0,,0.0,,62.15,71.89,119.37,371.92,0.01,0.02,-0.04,-0.11,-4.293097517753656,0.5049676884999192,22.79278031254329,-14.403352295729915,35.27,N/A,N/A
38,PSH,22.30,8.94,1.29,48803.66,10.46,17.34,16.54,0.73,0.67,0.84,0.24,0.0,,0.0,,1.37,,0.72,,,,585.41,1347.53,,,2.72,2.50,14.883522759044332,0.8859128509811236,35.764041261141514,12.369216261003018,,N/A,-8.15
39,QH,3.06,9.47,1.32,32786.01,13.17,2.31,2.23,0.80,0.99,0.62,0.50,0.05,,0.16,,0.15,,0.13,,1458.19,2836.95,2887.78,3809.09,0.36,0.29,0.29,0.32,14.504022576447174,1.139291216387572,29.784910659064046,17.535718572746152,-6.69,-0.69,12.23
40,RICHY,1.66,13.06,0.93,1735.86,26.76,1.91,1.85,0.88,0.31,0.06,0.11,0.04,10.00 : 1.00,0.055,,0.0063,24.00 : 1.00,0.0,,13.32,22.50,18.04,84.87,0.42,0.05,0.01,0.14,7.84627418569299,2.246374793839827,33.73452727839868,10.014844061998447,-83.84,-76.63,1336.01
41,RML,1.19,22.06,0.84,4254.83,22.96,1.41,1.42,0.74,0.51,0.58,0.72,0.0,,0.055,,0.07,,0.0,,497.74,505.20,1133.73,647.68,0.34,0.25,0.24,0.05,3.7995600136289416,1.0676861775866031,33.299539297635796,6.396763818428992,-26.43,-5.58,-77.32
42,ROJNA,6.65,10.23,1.03,13436.07,11.01,6.46,6.24,1.64,1.60,0.46,N/A,0.2,,0.25,,0.1,,0.0,,541.19,1438.60,410.50,699.40,0.51,0.38,0.06,0.65,10.602832971430901,2.14602814128298,23.614195482853848,10.686537140773964,-5.65,-83.33,1029.65
43,S,3.46,41.47,1.45,23713.87,28.20,2.39,2.29,0.62,0.65,N/A,N/A,0.0,,0.0,,0.0,,0.0,,766.38,509.39,983.12,6760.52,-0.05,-0.05,0.03,0.09,3.7373173305118947,1.3334396911466901,41.55034286855596,9.193295845108688,N/A,N/A,235.94
