,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
20,MFC,15.60,13.73,1.55,1959.61,-,10.06,10.04,0.24,0.13,1.23,1.52,0.0,,1.65,,1.55,,1.4,,287.00,128.01,107.60,170.26,1.97,1.57,1.55,1.15,10.970363564368617,0.1994565174334313,,15.703798276412384,-20.25,-0.54,-23.91
21,ML,1.17,11.07,0.71,1245.81,-,1.64,1.63,0.47,0.65,0.47,0.08,0.0,,0.032,,0.01,10.00 : 1.00,0.05,,30.83,36.26,96.17,42.91,0.10,0.11,0.12,0.11,6.612774785416868,1.0569635805679214,,,17.97,14.93,-4.83
22,MTLS,1.17,11.07,0.71,1245.81,-,0.0,,0.0,,0.0,,0.0,,6.612774785416868,1.0569635805679214,,,,,,,,,,,,,,,,,,,
23,PE,0.42,N/A,4.59,336.00,-,0.09,0.12,1.51,0.73,N/A,N/A,0.0,,0.0,,0.0,,0.0,,31.16,17.56,9.05,16.35,-0.10,-0.19,-0.33,-0.03,-33.214453939842535,30.61730158730159,,,N/A,N/A,N/A
24,PL,3.92,10.54,0.82,2338.25,-,4.80,4.70,0.67,0.65,0.51,0.47,0.17,,0.17,,0.19,,0.0,,23.33,80.13,77.62,214.79,0.31,0.32,0.37,0.37,7.904430100172416,3.6159826142251696,,,22.03,28.76,0.78
25,S11,7.35,11.40,2.15,4505.55,-,3.42,3.24,0.40,0.73,0.50,0.52,0.0,,0.38,,0.34,,0.21,,35.01,41.32,4.95,21.35,0.40,0.59,0.69,0.64,19.742782938767352,1.3937950910409587,,,N/A,19.39,-6.21
26,SAWAD,52.00,21.20,6.00,56543.18,-,8.67,7.95,1.44,1.09,N/A,N/A,0.0,,0.003,40.00 : 1.00,0.005,25.00 : 1.00,0.0,,347.99,332.80,713.10,1853.08,0.93,1.31,1.92,2.45,32.78124243195366,2.3552275791543926,,,56.33,50.03,33.02
27,THANI,8.30,22.27,4.45,20054.69,-,1.86,2.20,0.82,0.70,0.06,0.49,0.0,,0.18,,0.21,,0.03,4.00 : 1.00,204.24,163.89,117.88,190.42,0.35,0.31,0.36,0.47,21.168427396116645,6.0178949051943205,,,6.33,17.70,27.77
28,TK,13.00,13.92,1.36,6500.00,-,9.54,9.33,1.26,1.12,0.56,0.49,0.0,,0.4,,0.45,,0.52,,90.99,252.15,103.58,192.81,0.39,0.82,0.86,0.93,10.0258515553876,1.0964837472052904,,,108.69,5.25,8.67
29,TNITY,6.05,42.57,0.74,1194.85,-,8.12,7.84,0.18,0.06,3.17,3.83,0.25,,0.6,,0.4,,0.45,,77.12,61.84,54.81,82.21,1.09,0.74,0.81,0.14,1.75202618988918,1.4652944439942401,,4.427444794952681,-23.79,9.21,-82.41
30,UOBKH,4.18,9.72,0.63,2100.24,-,6.63,6.52,0.35,0.28,0.21,0.22,0.0,,0.1,,0.1,,0.09,,148.67,378.68,119.85,219.61,0.52,0.47,0.48,0.43,6.6492534212101955,0.905047788290668,,18.722696068233823,-10.11,2.25,-10.11
31,ZMICO,1.13,149.66,0.63,1477.74,-,1.80,1.81,0.55,0.69,6.62,1.37,0.04,,0.05,,0.1,,0.05,,302.60,404.70,376.37,330.32,0.12,0.05,0.17,0.01,0.39232131393853625,0.3628306193623936,,3.5838779956427014,-62.30,280.75,-95.65
